id,net_price,name,hierarchy_id
40050,0.0,pollo albahaca compartir promo,AB.070
40090,0.0,vegan compartir promo,AB.070
50050,0.0,Hamburguesa Hot con papas promo,AB.008
6730,6490.0,Herradura Transparente,AB.075
4130,2490.0,Extra Shot ,AB.040
4300,0.0,Hamburguesa Blueshop,AB.200240
3290,7490.0,Tallarin saltado carne+ bebida ,AB.095
GETJUSTOEX0020,0.0,Agua con Gas promo,BA.200
400060,0.0,Agua con Gas,AB.030
7800,8990.0,2 vodka absolute,AB.550
7490,5990.0,Baileys,AB.075
4140,1290.0,Jalapeños,AB.040
7300,5990.0,Monje negro,AB.075
uberbox50,0.0,Agua con Gas promo,BA.370
4150,14990.0,GIN ROSE LEMONADE,AB.006
3240,4990.0,Piscosour happy,AB.073
6520,5990.0,Dry Martini,AB.075
8080,0.0,Mojito maracuya,AB.007
7710,6990.0,Buchanans,AB.075
6830,1990.0,Fentimans Ginger Beer	,AB.075
7840,7192.0,2 Cacique ,AB.550
10150,0.0,fanta promo,BA.200
4590,4990.0,melon con vino,AB.075
400020,0.0,jugo de durazno,AB.030
7860,8990.0,paradise 2*8990,AB.550
7480,5990.0,Boulevardien,AB.075
1660,1190.0,jugo de piña,AB.050
7950,6990.0,Spicy mango,AB.075
3990,1000.0,MORADO PALL MALL,AB.065
7120,7990.0,Mistral 35,AB.075
4100,9990.0,PAPA + SCHOP HEINEKEN ,AB.006
4640,8990.0,Caipiriña happy,AB.072
GETJUSTOEX0064,0.0,vegan compartir promo,BA.260
6970,11990.0,Jhonnie W Black DOBLE,AB.075
6990,5990.0,Jim beam bourbon ,AB.075
UBEREATS0018,900.0,chicken curry extra,AB.100130
2920,0.0,Pisco Mistral Barrica tostada,AB.090
1970,990.0,Tradición,AB.490
2710,65900.0,Jack Daniels #7 750ml,AB.090
4730,14990.0,Descorche,AB.006
8090,0.0,Mojito frutos rojos,AB.007
2890,55759.0,Havana club especial,AB.090
60060,0.0,jugo de durazno promo,AB.070
60070,0.0,jugo de piña promo,AB.070
1150,5290.0,vegan compartir,AB.010
6790,4990.0,Martini Bianco,AB.075
7760,8990.0,2 Black label,AB.550
7780,8990.0,2 Jack honey,AB.550
7170,22990.0,Miguel Tores gran reserva ,AB.075
9010,7490.0,Hamburguesa Vegana,AB.410
3310,6490.0,Pollo saltado+bebida,AB.095
4030,4000.0,CHICLE,AB.065
60050,0.0,Agua sin Gas promo,AB.070
8050,4990.0,Mocktail,AB.075
2820,6490.0,Beefeater gin 750ml,AB.090
7125,7990.0,Mistral 40,AB.075
2080,5990.0,Margarita,AB.075
1740,1890.0,jugo de durazno,AB.100140
8100,0.0,Mojito tradicional,AB.007
400070,0.0,Agua sin Gas,AB.030
1430,4975.0,delivery 1,AB.150
7310,8990.0,ESPIRITU DE LOS ANDES ,AB.075
GETJUSTOEX0016,0.0,sprite sin azucar promo,BA.200
6760,4990.0,Cinzano Rosso,AB.075
7330,18990.0,Medalla,AB.075
2720,74990.0,Jack Daniels honey 750ml,AB.090
2815,6490.0,Bombay saphire gin 750ml,AB.090
3520,2990.0,Te caliente ,AB.075
7370,4990.0,Kalua ,AB.075
7390,4990.0,drambui,AB.075
3120,5990.0,Brownie con helado artesanal,AB.280
3470,7990.0,2 hamburguesas por 7990!!,AB.135
6060,0.0,Hamburguesa Original sin papas promo,AB.007
8110,0.0,Mojito frutos rojos,AB.007
9000,4490.0,vegan individual,AB.400
1540,7490.0,Hamburguesa Vegana,AB.020
4510,7990.0,2 Hamburguesas por 7990,AB.500
10440,0.0,Hamburguesa Americana sin papas promo,BA.750
10390,0.0,Hamburguesa Clasica sin papas promo,BA.750
10430,0.0,Hamburguesa Hot sin papas promo,BA.750
7830,8990.0,2 beefeater ,AB.550
7870,6990.0,Old parr,AB.075
6210,0.0,Agua con Gas promo,BA.520
1950,0.0,Vainilla ,AB.490
GETJUSTO0018,4990.0,Love is in the fries,AB.420
6080,0.0,Hamburguesa Blueshop sin papas promo,AB.007
UBEREATSEX0012,250.0,cheese and bacon compartir,BA.030
4050,9000.0,CAJA VERDE PALL MALL,AB.065
3640,14990.0,Misiones de rengo espumante ,AB.090
7210,9990.0, Habana  7 doble ,AB.075
